date,count
2018-11-21,58
2018-11-22,45
2018-11-23,55
2018-11-24,36
2018-11-25,73
2018-11-26,59
2018-11-27,43
2018-11-28,33
2018-11-29,59
2018-11-30,59
2018-12-01,52
2018-12-02,63
2018-12-03,60
2018-12-04,54
2018-12-05,79
2018-12-06,40
2018-12-07,59
2018-12-08,50
2018-12-09,74
2018-12-10,70
2018-12-11,61
2018-12-12,41
2018-12-13,52
2018-12-14,63
2018-12-15,38
2018-12-16,68
2018-12-17,70
2018-12-18,50
2018-12-19,43
2018-12-20,65
2018-12-21,69
2018-12-22,61
2018-12-23,61
2018-12-24,60
2018-12-25,61
2018-12-26,40
2018-12-27,43
2018-12-28,65
2018-12-29,67
2018-12-30,61
2018-12-31,68
